Timestamp,Temperature,Humidity
01:00,20,58
02:00,19,57
04:00,18,56
06:00,16,55
08:00,18,50
10:00,22,50
12:00,26,50
14:00,28,50
16:00,29,47
18:00,29,47
20:00,28,47
22:00,23,46
00:00,21,45
02:00,19,44
04:00,18,43
06:00,16,42
08:00,19,41
10:00,25,40
12:00,30,47
14:00,31,46
16:00,33,45
18:00,32,44
20:00,31,43
22:00,27,42
02:00,23,41
04:00,21,40
06:00,19,47
08:00,18,46
10:00,21,45
12:00,26,44
14:00,32,43
16:00,32,42
18:00,34,41
20:00,33,40
22:00,31,47
00:00,28,46
02:00,24,45
04:00,23,44
06:00,20,43
08:00,18,42
10:00,22,41
12:00,28,40
14:00,31,47
16:00,33,46
18:00,33,45
20:00,33,44
22:00,31,43
00:00,27,42
02:00,24,41
04:00,21,40
06:00,20,47
08:00,21,46
10:00,24,45
12:00,27,44
14:00,28,43
16:00,33,42
18:00,33,41
20:00,30,40
22:00,27,47
00:00,25,46
02:00,23,45
04:00,20,44
06:00,19,43
08:00,20,42
10:00,23,41
12:00,26,40
14:00,27,47
16:00,31,46
18:00,32,45
20:00,31,44
22:00,28,43
00:00,26,42
02:00,24,41
04:00,21,40
06:00,20,47
08:00,20,46
10:00,23,45
12:00,25,44
14:00,27,43
16:00,32,42
18:00,33,41
20:00,31,40
22:00,28,47
00:00,27,46
02:00,25,45
04:00,21,44
06:00,19,43
08:00,21,42
10:00,25,41
12:00,27,40
14:00,29,47
16:00,34,46
18:00,34,45
20:00,33,44
22:00,29,43
00:00,28,42
